850nm,640nm,940nm,580nm
892454,-1.02087e+06,1.0301e+06,-1.40226e+06
891637,-1.01669e+06,1.04334e+06,-1.40275e+06
891051,-1.01364e+06,1.05492e+06,-1.40202e+06
890420,-1.01271e+06,1.06005e+06,-1.40246e+06
889959,-1.01155e+06,1.06064e+06,-1.40379e+06
890440,-1.01268e+06,1.05798e+06,-1.40234e+06
890247,-1.01441e+06,1.05224e+06,-1.4035e+06
890395,-1.01664e+06,1.04561e+06,-1.40326e+06
891125,-1.01856e+06,1.03952e+06,-1.4045e+06
891064,-1.01948e+06,1.03548e+06,-1.40326e+06
891885,-1.02082e+06,1.03103e+06,-1.40305e+06
891600,-1.02236e+06,1.02601e+06,-1.40388e+06
891400,-1.02416e+06,1.02231e+06,-1.40401e+06
891851,-1.02457e+06,1.01746e+06,-1.40317e+06
892141,-1.0251e+06,1.01561e+06,-1.40323e+06
891862,-1.02601e+06,1.01492e+06,-1.40358e+06
891851,-1.02576e+06,1.01427e+06,-1.40455e+06
892039,-1.02643e+06,1.01357e+06,-1.40356e+06
892058,-1.02547e+06,1.01429e+06,-1.40406e+06
891843,-1.02632e+06,1.01403e+06,-1.40341e+06
891551,-1.02555e+06,1.015e+06,-1.4038e+06
892251,-1.0251e+06,1.01613e+06,-1.40356e+06
891931,-1.02478e+06,1.01635e+06,-1.40367e+06
891686,-1.02547e+06,1.0162e+06,-1.40453e+06
891749,-1.02563e+06,1.01468e+06,-1.40376e+06
891802,-1.02595e+06,1.0115e+06,-1.40433e+06
892621,-1.0269e+06,1.01028e+06,-1.40313e+06
892257,-1.02675e+06,1.00789e+06,-1.40327e+06
892317,-1.02759e+06,1.00566e+06,-1.40365e+06
892583,-1.02803e+06,1.00406e+06,-1.40357e+06
892304,-1.02837e+06,1.00242e+06,-1.40311e+06
892460,-1.02871e+06,1.00017e+06,-1.40399e+06
892729,-1.02978e+06,998727,-1.40355e+06
893002,-1.02959e+06,997622,-1.40365e+06
892848,-1.02958e+06,996709,-1.40339e+06
892841,-1.03043e+06,996012,-1.40295e+06
892852,-1.03043e+06,994774,-1.40304e+06
893114,-1.03045e+06,994001,-1.40335e+06
893485,-1.03031e+06,994112,-1.40304e+06
892987,-1.03061e+06,993568,-1.40269e+06
892784,-1.03045e+06,992395,-1.40412e+06
892803,-1.03064e+06,991898,-1.40394e+06
893180,-1.03053e+06,991672,-1.40323e+06
893496,-1.03033e+06,994956,-1.40255e+06
892581,-1.02841e+06,1.00374e+06,-1.40284e+06
892097,-1.02584e+06,1.01458e+06,-1.40373e+06
891602,-1.02175e+06,1.03027e+06,-1.40275e+06
891178,-1.01764e+06,1.04324e+06,-1.40262e+06
890190,-1.01442e+06,1.05278e+06,-1.40287e+06
889436,-1.01319e+06,1.05748e+06,-1.40327e+06
890179,-1.01373e+06,1.05682e+06,-1.40299e+06
890120,-1.01461e+06,1.05339e+06,-1.40325e+06
889881,-1.01604e+06,1.0467e+06,-1.40338e+06
890399,-1.01871e+06,1.0413e+06,-1.40376e+06
890611,-1.01919e+06,1.03578e+06,-1.40444e+06
891618,-1.02073e+06,1.03083e+06,-1.40361e+06
891210,-1.02213e+06,1.02646e+06,-1.4039e+06
891161,-1.02349e+06,1.02257e+06,-1.40396e+06
891895,-1.0241e+06,1.01922e+06,-1.40396e+06
892346,-1.02471e+06,1.01604e+06,-1.40384e+06
891939,-1.02608e+06,1.01396e+06,-1.40393e+06
892103,-1.02669e+06,1.01263e+06,-1.40398e+06
891413,-1.02623e+06,1.01258e+06,-1.40396e+06
892016,-1.02493e+06,1.01414e+06,-1.40462e+06
891984,-1.0248e+06,1.01574e+06,-1.40394e+06
891534,-1.02463e+06,1.01733e+06,-1.40477e+06
891293,-1.02424e+06,1.01839e+06,-1.40473e+06
891862,-1.02379e+06,1.01863e+06,-1.40466e+06
892259,-1.02393e+06,1.01781e+06,-1.40394e+06
892044,-1.02455e+06,1.01674e+06,-1.40376e+06
