Time(s),out1,out2,out3
0.863292491,164.3756,-106.67046,-85.765572
0.867198792,164.31178,-106.2689,-87.938667
0.871105093,164.10606,-106.94151,-86.89846
0.875011393,164.19727,-106.09933,-88.59375
0.878917694,164.37561,-103.63148,-86.986641
0.882823995,163.96472,-108.57391,-85.616402
0.886730296,164.14961,-105.36801,-86.940247
0.890636597,163.92104,-103.21062,-87.01281
0.894542898,164.12616,-107.54707,-87.811493
0.898449199,164.16922,-107.03252,-86.217842
0.902355499,164.31201,-103.66533,-84.852615
0.9062618,163.76714,-110.11221,-84.795212
0.910168101,163.9337,-106.25089,-88.784187
0.914074402,164.02968,-109.23745,-85.103584
0.917980703,163.97632,-103.73987,-87.350693
0.921887004,163.88623,-111.19289,-87.453156
0.925793305,164.09059,-106.37373,-87.067863
0.929699605,163.94571,-104.70534,-86.901054
0.933605906,163.98573,-104.39108,-85.790276
0.937512207,163.98569,-107.97256,-86.247841
0.941418508,163.97318,-106.60962,-87.795311
0.945324809,163.66284,-108.93534,-87.50705
0.94923111,163.92583,-107.33083,-86.385399
0.953137411,163.71875,-106.68967,-87.656693
0.957043712,163.73149,-102.99737,-88.552879
0.960950012,163.5663,-107.40693,-88.834183
0.964856313,163.52092,-107.16576,-88.690575
0.968762614,163.49832,-108.45741,-86.678123
0.972668915,163.62447,-106.46794,-86.862915
0.976575216,163.78773,-104.28093,-88.787537
0.980481517,163.32819,-108.17145,-87.601662
0.984387818,163.47456,-106.11673,-89.26046
0.988294118,163.26073,-105.44294,-88.944366
0.992200419,163.1951,-104.33713,-88.288666
0.99610672,163.49115,-110.80461,-87.966438
1.000013021,163.42625,-104.52151,-90.125763
1.003919322,163.15039,-106.00797,-87.74369
1.007825623,163.31096,-104.34254,-89.981873
1.011731924,163.16699,-106.09242,-87.659607
1.015638224,163.00613,-107.39923,-89.058067
1.019544525,163.18137,-104.37486,-89.72657
1.023450826,163.09494,-104.5483,-88.683807
1.027357127,163.11087,-107.48593,-87.6241
1.031263428,162.75673,-103.88107,-89.443672
1.035169729,162.83899,-103.15115,-91.256195
1.03907603,162.8726,-107.93187,-89.497772
1.04298233,162.91193,-108.147,-91.326897
1.046888631,163.0202,-104.37732,-89.343658
1.050794932,163.05005,-103.48703,-88.093414
1.054701233,162.8786,-101.93996,-87.625587
1.058607534,162.9509,-108.38857,-89.149071
1.062513835,162.89371,-107.87385,-91.538338
1.066420136,162.76489,-106.86574,-90.18074
1.070326437,162.78117,-104.08617,-90.313339
1.074232737,162.85756,-107.55852,-91.025513
1.078139038,162.83815,-105.18359,-90.699524
1.082045339,162.76729,-105.49208,-89.402901
1.08595164,162.77058,-108.03273,-89.638077
1.089857941,162.90366,-103.89516,-88.983665
1.093764242,162.93701,-108.26145,-90.189575
1.097670543,163.06898,-107.83811,-89.722107
1.101576843,162.6629,-105.7277,-88.684471
1.105483144,162.92014,-105.53431,-90.375191
1.109389445,162.85744,-106.6135,-87.662071
1.113295746,162.51474,-103.85875,-90.829918
1.117202047,162.93246,-106.66811,-89.238434
1.121108348,162.381,-102.91272,-88.87825
1.125014649,162.78091,-103.93031,-88.935524
1.128920949,162.49512,-105.34927,-89.296158
1.13282725,162.65376,-104.79848,-89.347321
1.136733551,162.84648,-104.54506,-89.314514
1.140639852,162.74936,-104.32715,-88.881233
1.144546153,162.56232,-103.19163,-89.906219
1.148452454,162.50594,-106.52065,-88.890121
1.152358755,162.92746,-105.00236,-89.320923
1.156265056,162.60974,-104.57906,-87.894035
1.160171356,162.76799,-104.03896,-89.151245
1.164077657,162.79762,-106.05151,-88.190109
1.167983958,162.92259,-103.93153,-87.166779
1.171890259,162.6375,-105.20914,-87.93589
1.17579656,163.03667,-106.22172,-87.985954
1.179702861,162.77292,-104.40359,-89.738831
1.183609162,162.91023,-103.4962,-88.620781
1.187515462,163.06586,-105.26388,-85.25428
1.191421763,162.93759,-108.68305,-87.492096
1.195328064,163.11852,-104.91566,-86.284378
1.199234365,163.36147,-102.61282,-88.724075
1.203140666,163.3374,-102.7887,-86.210159
1.207046967,163.2984,-107.62831,-86.032921
1.210953268,163.28082,-103.70544,-87.31897
1.214859568,163.13612,-106.48982,-87.155464
1.218765869,162.93741,-104.12251,-86.192375
